key,ru,en
Настройки,Настройки,Settings
Ранг:,Ранг:,Rank:
Бронза 1,Бронза 1,Bronze 1
Бронза 2,Бронза 2,Bronze 2
Бронза 3,Бронза 3,Bronze 3
Бронза 4,Бронза 4,Bronze 4
Бронза 5,Бронза 5,Bronze 5
Серебро 1,Серебро 1,Silver 1
Серебро 2,Серебро 2,Silver 2
Серебро 3,Серебро 3,Silver 3
Серебро 4,Серебро 4,Silver 4
Серебро 5,Серебро 5,Silver 5
Железо 1,Железо 1,Iron 1
Железо 2,Железо 2,Iron 2
Железо 3,Железо 3,Iron 3
Железо 4,Железо 4,Iron 4
Железо 5,Железо 5,Iron 5
Золото 1,Золото 1,Gold 1
Золото 2,Золото 2,Gold 2
Золото 3,Золото 3,Gold 3
Золото 4,Золото 4,Gold 4
Золото 5,Золото 5,Gold 5
Платина 1,Платина 1,Platinum 1
Платина 2,Платина 2,Platinum 2
Платина 3,Платина 3,Platinum 3
Платина 4,Платина 4,Platinum 4
Платина 5,Платина 5,Platinum 5
Даймонд 1,Даймонд 1,Diamond 1
Даймонд 2,Даймонд 2,Diamond 2
Даймонд 3,Даймонд 3,Diamond 3
Даймонд 4,Даймонд 4,Diamond 4
Даймонд 5,Даймонд 5,Diamond 5
Легенда,Легенда,Legend
Быстрая игра,Быстрая игра,Quick game
главная,главная,Main
Сервера,Сервера,Servers
Инвентарь,Инвентарь,Inventory
Магазин,Магазин,Shop
Создать комнату,Создать комнату,Create room
Карта,Карта,Map
Режим,Режим,Mode
Игроков,Игроков,Players
Подключиться,Подключиться,Connect
Сервер,Сервер,Server
Название комнаты,Название комнаты,Room name
Пароль,Пароль,Password
Чуствительность мыши:,Чуствительность мыши:,Mouse Sensitivity:
Язык:,Язык:,Language:
Общая громкость:,Общая громкость:,Master Volume:
Громкость музыки:,Громкость музыки:,Music Volume:
Громкость эффектов:,Громкость эффектов:,Effects Volume:
Ваше имя...,Ваше имя...,Your name...
Гойда Шутер,Robot's War,Robot's War
Вооружение,Вооружение,Weapons
Скины,Скины,Skins
Пауза,Пауза,Pause
Продолжить,Продолжить,Continue
Выйти,Выйти,Exit
Легендарный,Легендарный,Legendary
Эпический,Эпический,Epic
Редкий,Редкий,Rare
Необычный,Необычный,Unusual
Колесо Фортуны,Колесо Фортуны,The Wheel of Fortune
Внимание!,Внимание!,Attention!
Принять,Принять,To accept
Не достаточно билетов,Недостаточно билетов,Not enough tickets
Ошибка,Ошибка,Error
Длинна названия сервера должна быть между 3 и 16 символами.,Длина названия сервера должна быть между 3 и 16 символами.,The server name must be between 3 and 16 characters long.
Длинна пароля должна быть между 4 и 6 символами.,Длина пароля должна быть между 4 и 6 символами.,The password must be between 4 and 6 characters long.
Атака,Атака,Attack
Урон,Урон,Damage
Обойма,Обойма,The clip
Время между выстрелами,Время между выстрелами,Time between shots
Альтернативаня атака,Альтернативаня атака,Alternative attack
Сила прицеливания,Сила прицеливания,Aiming power
Урон за 1 дробь,Урон за 1 дробь,Damage per 1 fraction
Одиночный вытсрел,Одиночный вытсрел,Single shot
Автоматическая,Автоматическая,Automatic
Прицеливание,Прицеливание,Aiming
Урон за 1 дробь,Урон за 1 дробь,Damage per 1 fraction
Максимальный урон,Максимальный урон,Maximum damage
Двойная выстрел,Двойная выстрел,Double shot
Дальний Бросок,Дальний Бросок,Long Range Throw
Время перезарядки,Время перезарядки,Recharge time
Бросок под себя,Бросок под себя,A throw for yourself
Автоматическая 3мя патронами,Автоматическая 3мя патронами,Automatic with 3 cartridges
Близкий бросок,Близкий бросок,A close throw
Одиночный вытсрел по облости,Одиночный вытсрел по облости,Single shot at the area
Бросок сюрикена,Бросок сюрикена,Shuriken throw
До оживления:,До оживления:,Before reviving:
Нажмите любую кнопку чтобы продолжить,Нажмите любую кнопку чтобы продолжить,Press any button to continue
Введите текст,Введите текст,Enter the text
