key,ru
Настройки,Настройки
Ранг:,Ранг:
Бронза 1,Бронза 1
Бронза 2,Бронза 2
Бронза 3,Бронза 3
Бронза 4,Бронза 4
Бронза 5,Бронза 5
Серебро 1,Серебро 1
Серебро 2,Серебро 2
Серебро 3,Серебро 3
Серебро 4,Серебро 4
Серебро 5,Серебро 5
Железо 1,Железо 1
Железо 2,Железо 2
Железо 3,Железо 3
Железо 4,Железо 4
Железо 5,Железо 5
Золото 1,Золото 1
Золото 2,Золото 2
Золото 3,Золото 3
Золото 4,Золото 4
Золото 5,Золото 5
Платина 1,Платина 1
Платина 2,Платина 2
Платина 3,Платина 3
Платина 4,Платина 4
Платина 5,Платина 5
Даймонд 1,Даймонд 1
Даймонд 2,Даймонд 2
Даймонд 3,Даймонд 3
Даймонд 4,Даймонд 4
Даймонд 5,Даймонд 5
Легенда,Легенда
Быстрая игра,Быстрая игра
главная,главная
Сервера,Сервера
Инвентарь,Инвентарь
Магазин,Магазин
Создать комнату,Создать комнату
Карта,Карта
Режим,Режим
Игроков,Игроков
Подключиться,Подключиться
Сервер,Сервер
Название комнаты,Название комнаты
Пароль,Пароль
Чуствительность мыши:,Чуствительность мыши:
Язык:,Язык:
Общая громкость:,Общая громкость:
Громкость музыки:,Громкость музыки:
Громкость эффектов:,Громкость эффектов:
Ваше имя...,Ваше имя...
Гойда Шутер,Robot's War
Вооружение,Вооружение
Скины,Скины
Пауза,Пауза
Продолжить,Продолжить
Выйти,Выйти
Легендарный,Легендарный
Эпический,Эпический
Редкий,Редкий
Необычный,Необычный
Колесо Фортуны,Колесо Фортуны
Внимание!,Внимание!
Принять,Принять
Не достаточно билетов,Недостаточно билетов
Ошибка,Ошибка
Длина названия сервера должна быть между 3 и 16 символами.,Длина названия сервера должна быть между 3 и 16 символами.
Длина пароля должна быть между 4 и 6 символами.,Длина пароля должна быть между 4 и 6 символами.
Атака,Атака
Урон,Урон
Обойма,Обойма
Время между выстрелами,Время между выстрелами
Альтернативаня атака,Альтернативаня атака
Сила прицеливания,Сила прицеливания
Урон за 1 дробь,Урон за 1 дробь
Одиночный вытсрел,Одиночный вытсрел
Автоматическая,Автоматическая
Прицеливание,Прицеливание
Урон за 1 дробь,Урон за 1 дробь
Максимальный урон,Максимальный урон
Двойная выстрел,Двойная выстрел
Дальний Бросок,Дальний Бросок
Время перезарядки,Время перезарядки
Бросок под себя,Бросок под себя
Автоматическая 3мя патронами,Автоматическая 3мя патронами
Близкий бросок,Близкий бросок
Одиночный вытсрел по облости,Одиночный вытсрел по облости
Бросок сюрикена,Бросок сюрикена
До оживления:,До оживления:
Нажмите любую кнопку чтобы продолжить,Нажмите любую кнопку чтобы продолжить
Введите текст,Введите текст
Длина имени должна быть между 3 и 10 символами.,Длина имени должна быть между 3 и 10 символами.
